"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",3.95177158869412,0.146806989351262,20.7417839521599,26.9181433810266,1.29398852391491e-17
"lang_groupbilingual",0.367532884810753,0.15461488435546,2872.23473159274,2.37708605056286,0.0175151547282982
"age_days",0.329154369400386,0.098432614283909,3049.45344790683,3.34395638879413,0.000835905921599792
"object_bin1",1.68601573117459,0.134503629884865,3184.7054110828,12.5350946485073,3.20989299422171e-35
"lang_groupbilingual:age_days",0.242826396265088,0.152419436308403,3036.19002790362,1.59314587526591,0.111231561216897
"lang_groupbilingual:object_bin1",-0.225418084859855,0.212547221852108,3184.70541134936,-1.06055531046509,0.288972464080795
"age_days:object_bin1",0.0155051340321289,0.136163898782059,3184.70541166582,0.11387110806034,0.909347146711729
"lang_groupbilingual:age_days:object_bin1",-0.10590645897761,0.211431221758907,3184.70541201328,-0.500902648608699,0.61647425494142
